Category: All categories

Month,aws: (Worldwide)
2004-01,7
2004-02,8
2004-03,7
2004-04,7
2004-05,7
2004-06,6
2004-07,8
2004-08,7
2004-09,7
2004-10,7
2004-11,7
2004-12,7
2005-01,6
2005-02,7
2005-03,7
2005-04,7
2005-05,7
2005-06,6
2005-07,6
2005-08,7
2005-09,6
2005-10,6
2005-11,6
2005-12,6
2006-01,6
2006-02,6
2006-03,6
2006-04,6
2006-05,6
2006-06,6
2006-07,6
2006-08,7
2006-09,7
2006-10,6
2006-11,6
2006-12,6
2007-01,6
2007-02,6
2007-03,6
2007-04,6
2007-05,6
2007-06,6
2007-07,6
2007-08,6
2007-09,6
2007-10,6
2007-11,6
2007-12,6
2008-01,6
2008-02,6
2008-03,6
2008-04,7
2008-05,7
2008-06,7
2008-07,7
2008-08,6
2008-09,7
2008-10,7
2008-11,7
2008-12,7
2009-01,7
2009-02,8
2009-03,8
2009-04,7
2009-05,7
2009-06,8
2009-07,8
2009-08,7
2009-09,8
2009-10,8
2009-11,8
2009-12,8
2010-01,8
2010-02,8
2010-03,8
2010-04,8
2010-05,8
2010-06,9
2010-07,8
2010-08,8
2010-09,9
2010-10,9
2010-11,9
2010-12,9
2011-01,10
2011-02,10
2011-03,11
2011-04,11
2011-05,11
2011-06,11
2011-07,10
2011-08,11
2011-09,11
2011-10,11
2011-11,11
2011-12,11
2012-01,12
2012-02,12
2012-03,12
2012-04,12
2012-05,13
2012-06,13
2012-07,14
2012-08,14
2012-09,13
2012-10,14
2012-11,14
2012-12,13
2013-01,14
2013-02,15
2013-03,15
2013-04,16
2013-05,16
2013-06,17
2013-07,17
2013-08,17
2013-09,17
2013-10,19
2013-11,19
2013-12,17
2014-01,18
2014-02,20
2014-03,22
2014-04,23
2014-05,22
2014-06,23
2014-07,24
2014-08,23
2014-09,24
2014-10,25
2014-11,26
2014-12,24
2015-01,25
2015-02,27
2015-03,28
2015-04,30
2015-05,29
2015-06,32
2015-07,33
2015-08,31
2015-09,34
2015-10,37
2015-11,35
2015-12,33
2016-01,35
2016-02,41
2016-03,41
2016-04,42
2016-05,42
2016-06,48
2016-07,43
2016-08,46
2016-09,46
2016-10,48
2016-11,53
2016-12,53
2017-01,56
2017-02,67
2017-03,68
2017-04,62
2017-05,65
2017-06,69
2017-07,65
2017-08,68
2017-09,68
2017-10,72
2017-11,78
2017-12,69
2018-01,75
2018-02,81
2018-03,81
2018-04,82
2018-05,86
2018-06,85
2018-07,85
2018-08,85
2018-09,83
2018-10,88
2018-11,91
2018-12,79
2019-01,90
2019-02,94
2019-03,93
2019-04,96
2019-05,94
2019-06,100
