Category: All categories

Month,cloud: (Worldwide)
2004-01,33
2004-02,33
2004-03,34
2004-04,32
2004-05,31
2004-06,31
2004-07,31
2004-08,31
2004-09,33
2004-10,33
2004-11,28
2004-12,28
2005-01,29
2005-02,30
2005-03,31
2005-04,31
2005-05,30
2005-06,30
2005-07,30
2005-08,29
2005-09,32
2005-10,32
2005-11,30
2005-12,29
2006-01,31
2006-02,32
2006-03,31
2006-04,32
2006-05,32
2006-06,30
2006-07,29
2006-08,30
2006-09,29
2006-10,29
2006-11,28
2006-12,25
2007-01,27
2007-02,27
2007-03,28
2007-04,29
2007-05,28
2007-06,27
2007-07,28
2007-08,27
2007-09,27
2007-10,28
2007-11,27
2007-12,26
2008-01,27
2008-02,27
2008-03,28
2008-04,30
2008-05,29
2008-06,28
2008-07,29
2008-08,30
2008-09,29
2008-10,31
2008-11,29
2008-12,29
2009-01,31
2009-02,32
2009-03,34
2009-04,35
2009-05,34
2009-06,36
2009-07,35
2009-08,36
2009-09,37
2009-10,39
2009-11,39
2009-12,37
2010-01,37
2010-02,40
2010-03,42
2010-04,60
2010-05,60
2010-06,46
2010-07,53
2010-08,53
2010-09,50
2010-10,53
2010-11,56
2010-12,57
2011-01,54
2011-02,55
2011-03,62
2011-04,62
2011-05,72
2011-06,71
2011-07,60
2011-08,61
2011-09,61
2011-10,67
2011-11,66
2011-12,67
2012-01,64
2012-02,65
2012-03,66
2012-04,68
2012-05,68
2012-06,71
2012-07,71
2012-08,72
2012-09,77
2012-10,94
2012-11,93
2012-12,90
2013-01,94
2013-02,87
2013-03,84
2013-04,81
2013-05,80
2013-06,85
2013-07,81
2013-08,80
2013-09,82
2013-10,85
2013-11,85
2013-12,85
2014-01,90
2014-02,89
2014-03,91
2014-04,90
2014-05,88
2014-06,88
2014-07,89
2014-08,88
2014-09,98
2014-10,94
2014-11,93
2014-12,91
2015-01,90
2015-02,92
2015-03,91
2015-04,92
2015-05,91
2015-06,91
2015-07,90
2015-08,92
2015-09,96
2015-10,95
2015-11,97
2015-12,96
2016-01,89
2016-02,92
2016-03,91
2016-04,91
2016-05,88
2016-06,89
2016-07,84
2016-08,86
2016-09,95
2016-10,91
2016-11,91
2016-12,88
2017-01,92
2017-02,95
2017-03,96
2017-04,94
2017-05,96
2017-06,90
2017-07,94
2017-08,96
2017-09,95
2017-10,100
2017-11,99
2017-12,95
2018-01,97
2018-02,99
2018-03,98
2018-04,97
2018-05,96
2018-06,91
2018-07,92
2018-08,94
2018-09,96
2018-10,96
2018-11,97
2018-12,94
2019-01,100
2019-02,100
2019-03,99
2019-04,97
2019-05,98
2019-06,98
