Category: All categories

Month,serverless: (Worldwide)
2004-01,8
2004-02,8
2004-03,4
2004-04,15
2004-05,4
2004-06,4
2004-07,6
2004-08,3
2004-09,13
2004-10,8
2004-11,5
2004-12,7
2005-01,3
2005-02,8
2005-03,9
2005-04,3
2005-05,5
2005-06,6
2005-07,8
2005-08,3
2005-09,5
2005-10,9
2005-11,6
2005-12,4
2006-01,6
2006-02,3
2006-03,3
2006-04,8
2006-05,3
2006-06,4
2006-07,3
2006-08,4
2006-09,2
2006-10,4
2006-11,2
2006-12,2
2007-01,3
2007-02,5
2007-03,4
2007-04,3
2007-05,3
2007-06,1
2007-07,3
2007-08,2
2007-09,2
2007-10,2
2007-11,1
2007-12,2
2008-01,1
2008-02,1
2008-03,2
2008-04,3
2008-05,2
2008-06,3
2008-07,2
2008-08,2
2008-09,3
2008-10,1
2008-11,2
2008-12,2
2009-01,1
2009-02,2
2009-03,2
2009-04,1
2009-05,1
2009-06,2
2009-07,1
2009-08,1
2009-09,<1
2009-10,2
2009-11,1
2009-12,2
2010-01,2
2010-02,1
2010-03,2
2010-04,2
2010-05,2
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,1
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,2
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,<1
2012-06,1
2012-07,1
2012-08,1
2012-09,<1
2012-10,1
2012-11,1
2012-12,<1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,<1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,3
2016-01,3
2016-02,5
2016-03,6
2016-04,8
2016-05,10
2016-06,12
2016-07,12
2016-08,14
2016-09,16
2016-10,18
2016-11,18
2016-12,22
2017-01,25
2017-02,30
2017-03,33
2017-04,35
2017-05,36
2017-06,40
2017-07,40
2017-08,45
2017-09,46
2017-10,52
2017-11,56
2017-12,52
2018-01,57
2018-02,62
2018-03,65
2018-04,67
2018-05,70
2018-06,66
2018-07,75
2018-08,83
2018-09,77
2018-10,79
2018-11,80
2018-12,79
2019-01,85
2019-02,94
2019-03,92
2019-04,90
2019-05,97
2019-06,100
